PassengerId,Sex,Age,Title,Pclass,SibSp,Parch,FamSize,Fare,Embarked,Deck,Survived
1,male,22,Mr,3,1,0,1,7.25,S,Unknown,0
2,female,38,Mrs,1,1,0,1,71.2833,C,C,1
3,female,26,Miss,3,0,0,0,7.925,S,Unknown,1
4,female,35,Mrs,1,1,0,1,53.1,S,C,1
5,male,35,Mr,3,0,0,0,8.05,S,Unknown,0
6,male,33,Mr,3,0,0,0,8.4583,Q,Unknown,0
7,male,54,Mr,1,0,0,0,51.8625,S,E,0
8,male,2,Master,3,3,1,4,21.075,S,Unknown,0
9,female,27,Mrs,3,0,2,2,11.1333,S,Unknown,1
10,female,14,Mrs,2,1,0,1,30.0708,C,Unknown,1
11,female,4,Miss,3,1,1,2,16.7,S,G,1
12,female,58,Miss,1,0,0,0,26.55,S,C,1
13,male,20,Mr,3,0,0,0,8.05,S,Unknown,0
14,male,39,Mr,3,1,5,6,31.275,S,Unknown,0
15,female,14,Miss,3,0,0,0,7.8542,S,Unknown,0
16,female,55,Mrs,2,0,0,0,16.0,S,Unknown,1
17,male,2,Master,3,4,1,5,29.125,Q,Unknown,0
18,male,33,Mr,2,0,0,0,13.0,S,Unknown,1
19,female,31,Mrs,3,1,0,1,18.0,S,Unknown,0
20,female,36,Mrs,3,0,0,0,7.225,C,Unknown,1
21,male,35,Mr,2,0,0,0,26.0,S,Unknown,0
22,male,34,Mr,2,0,0,0,13.0,S,D,1
23,female,15,Miss,3,0,0,0,8.0292,Q,Unknown,1
24,male,28,Mr,1,0,0,0,35.5,S,A,1
25,female,8,Miss,3,3,1,4,21.075,S,Unknown,0
26,female,38,Mrs,3,1,5,6,31.3875,S,Unknown,1
27,male,33,Mr,3,0,0,0,7.225,C,Unknown,0
28,male,19,Mr,1,3,2,5,263.0,S,C,0
29,female,28,Miss,3,0,0,0,7.8792,Q,Unknown,1
30,male,33,Mr,3,0,0,0,7.8958,S,Unknown,0
31,male,40,Mr,1,0,0,0,27.7208,C,Unknown,0
32,female,36,Mrs,1,1,0,1,146.5208,C,B,1
33,female,28,Miss,3,0,0,0,7.75,Q,Unknown,1
34,male,66,Mr,2,0,0,0,10.5,S,Unknown,0
35,male,28,Mr,1,1,0,1,82.1708,C,Unknown,0
36,male,42,Mr,1,1,0,1,52.0,S,Unknown,0
37,male,33,Mr,3,0,0,0,7.2292,C,Unknown,1
38,male,21,Mr,3,0,0,0,8.05,S,Unknown,0
39,female,18,Miss,3,2,0,2,18.0,S,Unknown,0
40,female,14,Miss,3,1,0,1,11.2417,C,Unknown,1
41,female,40,Mrs,3,1,0,1,9.475,S,Unknown,0
42,female,27,Mrs,2,1,0,1,21.0,S,Unknown,0
43,male,33,Mr,3,0,0,0,7.8958,C,Unknown,0
44,female,3,Miss,2,1,2,3,41.5792,C,Unknown,1
45,female,19,Miss,3,0,0,0,7.8792,Q,Unknown,1
46,male,33,Mr,3,0,0,0,8.05,S,Unknown,0
47,male,33,Mr,3,1,0,1,15.5,Q,Unknown,0
48,female,28,Miss,3,0,0,0,7.75,Q,Unknown,1
49,male,33,Mr,3,2,0,2,21.6792,C,Unknown,0
50,female,18,Mrs,3,1,0,1,17.8,S,Unknown,0
51,male,7,Master,3,4,1,5,39.6875,S,Unknown,0
52,male,21,Mr,3,0,0,0,7.8,S,Unknown,0
53,female,49,Mrs,1,1,0,1,76.7292,C,D,1
54,female,29,Mrs,2,1,0,1,26.0,S,Unknown,1
55,male,65,Mr,1,0,1,1,61.9792,C,B,0
56,male,33,Mr,1,0,0,0,35.5,S,C,1
57,female,21,Miss,2,0,0,0,10.5,S,Unknown,1
58,male,28,Mr,3,0,0,0,7.2292,C,Unknown,0
59,female,5,Miss,2,1,2,3,27.75,S,Unknown,1
60,male,11,Master,3,5,2,7,46.9,S,Unknown,0
61,male,22,Mr,3,0,0,0,7.2292,C,Unknown,0
62,female,38,Miss,1,0,0,0,80.0,S,B,1
63,male,45,Mr,1,1,0,1,83.475,S,C,0
64,male,4,Master,3,3,2,5,27.9,S,Unknown,0
65,male,33,Mr,1,0,0,0,27.7208,C,Unknown,0
66,male,5,Master,3,1,1,2,15.2458,C,Unknown,1
67,female,29,Mrs,2,0,0,0,10.5,S,F,1
68,male,19,Mr,3,0,0,0,8.1583,S,Unknown,0
69,female,17,Miss,3,4,2,6,7.925,S,Unknown,1
70,male,26,Mr,3,2,0,2,8.6625,S,Unknown,0
71,male,32,Mr,2,0,0,0,10.5,S,Unknown,0
72,female,16,Miss,3,5,2,7,46.9,S,Unknown,0
73,male,21,Mr,2,0,0,0,73.5,S,Unknown,0
74,male,26,Mr,3,1,0,1,14.4542,C,Unknown,0
75,male,32,Mr,3,0,0,0,56.4958,S,Unknown,1
76,male,25,Mr,3,0,0,0,7.65,S,F,0
77,male,33,Mr,3,0,0,0,7.8958,S,Unknown,0
